Tuscan Red   Hex=#7c4848,126,81,78
Color,R,G,B
Pastel Pink   Hex=#dea5a4,202,165,159
Color,R,G,B
Snow   Hex=#fffafa,255,254,247
Color,R,G,B
Mountbatten Pink   Hex=#997a8d,153,141,140
Color,R,G,B
Wine   Hex=#722f37,90,47,52
Color,R,G,B
Wine   Hex=#722f37,100,49,54
Color,R,G,B
Wine   Hex=#722f37,97,47,50
Color,R,G,B
Dim Gray   Hex=#696969,107,99,99
Color,R,G,B
Pale Silver   Hex=#c9c0bb,202,186,176
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,220,202,192
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,220,202,192
Color,R,G,B
Khaki (Html/Css) (Khaki)   Hex=#c3b091,196,161,144
Color,R,G,B
Tea Rose (Rose)   Hex=#f4c2c2,222,198,190
Color,R,G,B
Dark Gray   Hex=#a9a9a9,184,169,168
Color,R,G,B
Rose Quartz   Hex=#aa98a9,175,158,158
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,222,204,198
Color,R,G,B
Pale Silver   Hex=#c9c0bb,222,193,182
Color,R,G,B
Desert Sand   Hex=#edc9af,228,195,180
Color,R,G,B
Desert Sand   Hex=#edc9af,232,199,184
Color,R,G,B
Desert Sand   Hex=#edc9af,232,199,184
Color,R,G,B
Pale Chestnut   Hex=#ddadaf,208,179,173
Color,R,G,B
Desert Sand   Hex=#edc9af,225,195,184
Color,R,G,B
Desert Sand   Hex=#edc9af,235,204,190
Color,R,G,B
Beaver   Hex=#9f8170,145,124,111
Color,R,G,B
Antique Brass   Hex=#cd9575,200,160,116
Color,R,G,B
Tumbleweed   Hex=#deaa88,213,174,130
Color,R,G,B
Pale Gold   Hex=#e6be8a,231,196,151
Color,R,G,B
Peru   Hex=#cd853f,181,130,63
Color,R,G,B
Peru   Hex=#cd853f,188,134,66
Color,R,G,B
Peru   Hex=#cd853f,191,135,66
Taupe Gray   Hex=#8b8589,138,137,137
Color,R,G,B
Dark Jungle Green   Hex=#1a2421,35,32,32
Color,R,G,B
Beaver   Hex=#9f8170,156,120,112
Color,R,G,B
Smoky Black   Hex=#100c08,10,12,12
Color,R,G,B
Grullo   Hex=#a99a86,160,154,146
Color,R,G,B
Dark Gray   Hex=#a9a9a9,163,161,154
Color,R,G,B
Manatee   Hex=#979aaa,160,160,155
Color,R,G,B
Grullo   Hex=#a99a86,148,152,142
Color,R,G,B
Taupe Gray   Hex=#8b8589,136,144,134
Color,R,G,B
Battleship Grey   Hex=#848482,132,138,130
Color,R,G,B
Battleship Grey   Hex=#848482,137,140,130
Color,R,G,B
Taupe Gray   Hex=#8b8589,147,148,139
Color,R,G,B
Dark Gray   Hex=#a9a9a9,164,165,155
Color,R,G,B
Dark Gray   Hex=#a9a9a9,166,167,158
Color,R,G,B
Dark Gray   Hex=#a9a9a9,172,166,158
Color,R,G,B
Grullo   Hex=#a99a86,161,162,150
Color,R,G,B
Grullo   Hex=#a99a86,160,159,150
Color,R,G,B
Taupe Gray   Hex=#8b8589,149,150,138
Color,R,G,B
Taupe Gray   Hex=#8b8589,138,137,137
Color,R,G,B
Taupe Gray   Hex=#8b8589,141,142,132
Color,R,G,B
Taupe Gray   Hex=#8b8589,148,149,139
Color,R,G,B
Taupe Gray   Hex=#8b8589,142,145,135
Color,R,G,B
Taupe Gray   Hex=#8b8589,139,142,132
Color,R,G,B
Taupe Gray   Hex=#8b8589,140,145,135
Color,R,G,B
Dark Gray   Hex=#a9a9a9,168,168,161
Color,R,G,B
Dark Gray   Hex=#a9a9a9,179,176,167
Color,R,G,B
Dark Gray   Hex=#a9a9a9,168,164,156
Color,R,G,B
Dark Gray   Hex=#a9a9a9,167,163,153
Color,R,G,B
Grullo   Hex=#a99a86,164,161,150
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,189,185,179
Color,R,G,B
Trolley Grey   Hex=#808080,124,132,123
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Manatee   Hex=#979aaa,156,157,150
Color,R,G,B
Dark Gray   Hex=#a9a9a9,165,167,160
Color,R,G,B
Dark Gray   Hex=#a9a9a9,174,170,164
Color,R,G,B
Dark Gray   Hex=#a9a9a9,175,171,163
Color,R,G,B
Dark Gray   Hex=#a9a9a9,162,162,156
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
Ebony   Hex=#555d50,89,92,80
Color,R,G,B
White   Hex=#fff,255,255,255
Color,R,G,B
